"3D麻","梭织类"
"75D肤感","梭织类"
"9040","梭织类"
"9088","梭织类"
"EVA","其他面料"
"OK布","其他面料"
"PU","皮革皮草"
"PU涂层牛津纺","梭织类"
"PVC","其他面料"
"PVC","皮革皮草"
"PVC涂层布","梭织类"
"PV绒","针织类"
"TPU","辅料"
"TPU材料","其他面料"
"TR","梭织类"
"七彩棉","针织类"
"三文治烧花","针织类"
"三明治","针织类"
"三防布","梭织类"
"不倒绒","针织类"
"丝光棉","针织类"
"丝光牛仔布","梭织类"
"丝光绒","针织类"
"丝光锦","针织类"
"丝巾面料","梭织类"
"丝棉","梭织类"
"丝毛","梭织类"
"丝绒","针织类"
"丝绒","梭织类"
"丝绸","梭织类"
"丝麻提花","梭织类"
"中国呢","梭织类"
"丽丝绒","针织类"
"乐丽丝","梭织类"
"乔其纱","梭织类"
"乱纹","针织类"
"乱纹印花","针织类"
"乱麻四面弹","梭织类"
"乱麻布","梭织类"
"五枚缎(亮光缎纹)","梭织类"
"亚光绸缎","梭织类"
"亚呢","针织类"
"亚麻","梭织类"
"亮丝绉","梭织类"
"亮丝针织","针织类"
"亮光丝","梭织类"
"亮光尼丝纺","梭织类"
"亮光布","针织类"
"亮光棉","梭织类"
"亮光涤塔夫","梭织类"
"亮光锦","梭织类"
"亮光风衣布","梭织类"
"人丝乔其","梭织类"
"人丝涤粘","梭织类"
"人字呢","梭织类"
"人字带","辅料"
"人字斜","梭织类"
"人棉印花","梭织类"
"人棉提花","梭织类"
"人造毛","皮革皮草"
"仿乔其","梭织类"
"仿兔毛","针织类"
"仿兔绒","针织类"
"仿平绒","梭织类"
"仿棉汗布","针织类"
"仿毛布","梭织类"
"仿毛绒","针织类"
"仿牛仔","梭织类"
"仿牛仔","针织类"
"仿皮","皮革皮草"
"仿皮绒","皮革皮草"
"仿真丝","梭织类"
"仿真丝提花","梭织类"
"仿羊毛","梭织类"
"仿羊绒","针织类"
"仿羊绒","梭织类"
"仿羊羔绒","针织类"
"仿记忆布","梭织类"
"仿超柔","针织类"
"仿超柔复合","针织类"
"仿飞织布","其他面料"
"仿麦呢","梭织类"
"仿麻布","梭织类"
"仿麻竹节布","梭织类"
"休闲面料","梭织类"
"伦敦呢","针织类"
"佐织麻","梭织类"
"佳丽斜","梭织类"
"佳丽纱","梭织类"
"佳积布","针织类"
"俏丽呢","梭织类"
"假毛","针织类"
"健康布","针织类"
"兔绒","针织类"
"全尼龙布","梭织类"
"全棉仿牛仔","梭织类"
"全棉印花布","梭织类"
"全棉大卫衣","针织类"
"全棉平纹布","梭织类"
"全棉抗皱布","梭织类"
"全棉斜纹布","梭织类"
"全棉水溶","蕾丝/绣品"
"全棉汗布","针织类"
"全棉牛仔","梭织类"
"全棉磨毛布","梭织类"
"全棉色织","梭织类"
"全涤斜纹布","梭织类"
"冰花绒","针织类"
"冲孔","加工服务"
"冲锋衣面料","梭织类"
"凡立丁","梭织类"
"凤凰呢","针织类"
"制服呢","梭织类"
"剪毛绒","针织类"
"剪花布","梭织类"
"剪花牛仔","梭织类"
"剪花麻棉","梭织类"
"割圈绒","针织类"
"割绒","其他面料"
"割绒面料","针织类"
"加厚仿麻","梭织类"
"加捻绉布","梭织类"
"加捻罗马布","针织类"
"加捻记忆布","梭织类"
"包装辅料","辅料"
